order,shot,asset_type,master_filename,start_s,end_s,dur_s
73,073,STILL_PHOTO,073_04m48s-04m52s_dashboard-pressure.png,378.148,383.152,5.005
74,074,STILL_PHOTO,074_04m52s-04m56s_flexibility.png,383.152,387.849,4.697
75,075,ANIMATE_CLIP,075_04m56s-05m00s_erased-boundary.png,387.849,392.084,4.235
76,076,STILL_PHOTO,076_05m00s-05m04s_bell-follows-home.png,392.084,397.012,4.928
77,077,STILL_PHOTO,077_05m04s-05m08s_unseen-work-layer.png,397.012,402.94,5.929
78,078,STILL_PHOTO,078_05m08s-05m12s_scattered-coordination.png,402.94,409.716,6.776
79,079,STILL_PHOTO,079_05m12s-05m16s_evening-fragmentation.png,409.716,415.028,5.313
80,080,ANIMATE_CLIP,080_05m16s-05m20s_maintenance-fragmented.png,415.028,419.648,4.62
81,081,STILL_PHOTO,081_05m20s-05m24s_occupied-free-time.png,419.648,423.498,3.85
82,082,STILL_PHOTO,082_05m24s-05m28s_distributed-system.png,423.498,429.041,5.544
83,083,STILL_PHOTO,083_05m28s-05m32s_no-single-villain.png,429.041,434.585,5.544
84,084,STILL_PHOTO,084_05m32s-05m36s_safety-money-work-time-loop.png,434.585,440.514,5.929
85,085,ANIMATE_CLIP,085_05m36s-05m40s_exhaustion-is-not-failure.png,440.514,446.134,5.621
86,086,STILL_PHOTO,086_05m40s-05m44s_internalized-labels.png,446.134,451.601,5.467
87,087,STILL_PHOTO,087_05m44s-05m48s_tired-not-broken.png,451.601,455.22,3.619
88,088,STILL_PHOTO,088_05m48s-05m52s_not-wasting-time.png,455.22,458.992,3.773
89,089,STILL_PHOTO,089_05m52s-05m56s_quiet-claim.png,458.992,464.074,5.082
90,090,ANIMATE_CLIP,090_05m56s-06m00s_deeper-prehistoric-comparison.png,464.074,468.694,4.62
91,091,STILL_PHOTO,091_06m00s-06m04s_not-abandon-progress.png,468.694,474.545,5.852
92,092,STILL_PHOTO,092_06m04s-06m08s_forgotten-progress-question.png,474.545,479.396,4.851
93,093,STILL_PHOTO,093_06m08s-06m12s_real-benefits.png,479.396,485.402,6.006
94,094,STILL_PHOTO,094_06m12s-06m16s_time-poor-tools.png,485.402,490.56,5.159
95,095,ANIMATE_CLIP,095_06m16s-06m20s_saving-is-not-deciding.png,490.56,496.258,5.698
96,096,STILL_PHOTO,096_06m20s-06m24s_three-time-savers.png,496.258,502.11,5.852
97,097,STILL_PHOTO,097_06m24s-06m28s_saved-time-not-yours.png,502.11,506.036,3.927
98,098,STILL_PHOTO,098_06m28s-06m32s_captured-efficiency-paths.png,506.036,512.196,6.16
99,099,STILL_PHOTO,099_06m32s-06m36s_efficiency-captured.png,512.196,518.51,6.314
100,100,ANIMATE_CLIP,100_06m36s-06m40s_who-receives-it.png,518.51,524.053,5.544
101,101,STILL_PHOTO,101_06m40s-06m44s_comparison-still-stings.png,524.053,528.365,4.312
102,102,STILL_PHOTO,102_06m44s-06m48s_not-painless.png,528.365,532.446,4.081
103,103,STILL_PHOTO,103_06m48s-06m52s_cannot-know-happiness.png,532.446,537.373,4.928
104,104,STILL_PHOTO,104_06m52s-06m56s_unbilled-life.png,537.373,543.533,6.16
105,105,ANIMATE_CLIP,105_06m56s-07m00s_visible-connection-life.png,543.533,549.0,5.467
106,106,STILL_PHOTO,106_07m00s-07m04s_small-moments.png,549.0,553.003,4.004
107,107,STILL_PHOTO,107_07m04s-07m08s_cooking-versus-urgent.png,553.003,558.701,5.698
108,108,STILL_PHOTO,108_07m08s-07m12s_destinationless-walk.png,558.701,564.784,6.083
109,109,STILL_PHOTO,109_07m12s-07m16s_empty-hour-as-waste.png,564.784,568.479,3.696
110,110,ANIMATE_CLIP,110_07m16s-07m20s_empty-hour-possibilities.png,568.479,574.485,6.006
111,111,STILL_PHOTO,111_07m20s-07m24s_idea-before-price.png,574.485,579.952,5.467
112,112,STILL_PHOTO,112_07m24s-07m28s_no-magic-secret.png,579.952,585.726,5.775
113,113,STILL_PHOTO,113_07m28s-07m32s_unclaimed-time.png,585.726,592.425,6.699
114,114,STILL_PHOTO,114_07m32s-07m36s_three-eights-return.png,592.425,596.428,4.004
115,115,ANIMATE_CLIP,115_07m36s-07m40s_line-against-more.png,596.428,601.895,5.467
116,116,STILL_PHOTO,116_07m40s-07m44s_more-than-hands.png,601.895,606.592,4.697
117,117,STILL_PHOTO,117_07m44s-07m48s_rest-not-leftover.png,606.592,610.903,4.312
118,118,STILL_PHOTO,118_07m48s-07m52s_tomorrow-alarm.png,610.903,615.292,4.389
119,119,STILL_PHOTO,119_07m52s-07m56s_calendar-and-rent.png,615.292,619.912,4.62
120,120,ANIMATE_CLIP,120_07m56s-08m00s_first-notification-question.png,619.912,625.61,5.698
121,121,STILL_PHOTO,121_08m00s-08m04s_who-needs-this-hour.png,625.61,627.149,1.54
122,122,STILL_PHOTO,122_08m04s-08m08s_necessary-or-inherited.png,627.149,632.231,5.082
123,123,STILL_PHOTO,123_08m08s-08m12s_not-entire-week.png,632.231,637.159,4.928
124,124,STILL_PHOTO,124_08m12s-08m16s_four-small-protections.png,637.159,643.549,6.391
125,125,ANIMATE_CLIP,125_08m16s-08m20s_not-optimization-not-reward.png,643.549,647.938,4.389
126,126,STILL_PHOTO,126_08m20s-08m24s_life-more-than-schedule.png,647.938,653.328,5.39
127,127,STILL_PHOTO,127_08m24s-08m28s_maybe-you-work-more.png,653.328,656.023,2.695
128,128,STILL_PHOTO,128_08m28s-08m32s_taught-normal.png,656.023,660.95,4.928
