shot,tc_in,tc_out,dur_s,asset_type,master_filename,narration,overlay,transition
011,00:00:40:00,00:00:44:00,4,STILL_PHOTO,011_00m40s-00m44s_work-more-than-caveman.png,Which makes this title sound ridiculous: you work more than a caveman.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
012,00:00:44:00,00:00:48:00,4,STILL_PHOTO,012_00m44s-00m48s_modern-convenience.png,"Surely the person with hospitals, machines, and supermarkets should work less.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
013,00:00:48:00,00:00:52:00,4,STILL_PHOTO,013_00m48s-00m52s_hidden-question.png,But the comparison hides a question much bigger than prehistoric survival.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
014,00:00:52:00,00:00:56:00,4,STILL_PHOTO,014_00m52s-00m56s_control-of-the-day.png,"Not who had the easier life, but who controlled more of the day.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
015,00:00:56:00,00:01:00:00,4,ANIMATE_CLIP,015_00m56s-01m00s_remove-caveman-cartoon.png,"And first, we have to remove the cartoon from the word caveman.",CAVEMAN → HUNTER-GATHERERS,Ink-eraser match wipe into the wider prehistoric landscape of Shot 016.
016,00:01:00:00,00:01:04:00,4,STILL_PHOTO,016_01m00s-01m04s_no-single-prehistoric-life.png,"There was no single prehistoric schedule, and there was no prehistoric paradise.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
017,00:01:04:00,00:01:08:00,4,STILL_PHOTO,017_01m04s-01m08s_survival-is-fragile.png,"Drought, injury, infection, and infant death could make life brutally fragile.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
018,00:01:08:00,00:01:12:00,4,STILL_PHOTO,018_01m08s-01m12s_modern-medicine-and-safety.png,Modern medicine and sanitation have saved lives those people could not save.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
019,00:01:12:00,00:01:16:00,4,STILL_PHOTO,019_01m12s-01m16s_survival-versus-control.png,But survival and control are different things.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
020,00:01:16:00,00:01:20:00,4,ANIMATE_CLIP,020_01m16s-01m20s_anthropology-clue.png,That is where an awkward piece of anthropology enters the story.,,Hard cut on notebook/stopwatch rise into the Richard Lee research scene.
021,00:01:20:00,00:01:24:00,4,STILL_PHOTO,021_01m20s-01m24s_richard-lee-kalahari.png,"In the 1960s, Richard Lee studied Ju/'hoansi communities in the Kalahari.","RICHARD LEE, 1960s",Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
022,00:01:24:00,00:01:28:00,4,STILL_PHOTO,022_01m24s-01m28s_food-not-happiness.png,He did not measure happiness. He measured time spent acquiring food.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
023,00:01:28:00,00:01:32:00,4,STILL_PHOTO,023_01m28s-01m32s_dobe-food-hours.png,"In one Dobe sample, that work came to roughly twelve to nineteen hours weekly.",12–19 HOURS / WEEK*,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
024,00:01:32:00,00:01:36:00,4,STILL_PHOTO,024_01m32s-01m36s_not-all-warning.png,"That was not every chore, every season, or every hunter-gatherer society.",NOT ALL ×3,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
025,00:01:36:00,00:01:40:00,4,ANIMATE_CLIP,025_01m36s-01m40s_short-vs-forty-hour-week.png,But it was enough to make a forty-hour week look historically strange.,40 HOURS,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
026,00:01:40:00,00:01:44:00,4,STILL_PHOTO,026_01m40s-01m44s_forager-life-tasks.png,"Foragers cooked, repaired tools, cared for children, traveled, and maintained relationships.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
027,00:01:44:00,00:01:48:00,4,STILL_PHOTO,027_01m44s-01m48s_worked-differently.png,The point is not that they did nothing. They worked differently.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
028,00:01:48:00,00:01:52:00,4,STILL_PHOTO,028_01m48s-01m52s_task-weather-hunger-people.png,"Their days often followed tasks, weather, hunger, and other people.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
029,00:01:52:00,00:01:56:00,4,STILL_PHOTO,029_01m52s-01m56s_need-and-repair.png,You hunted because food was needed. You repaired because something broke.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
030,00:01:56:00,00:02:00:00,4,ANIMATE_CLIP,030_01m56s-02m00s_task-ended-clock-fades.png,"When the task ended, no clock demanded another identical hour.",,Clock-dissolve match cut into the TASK/TIME cards of Shot 031.
031,00:02:00:00,00:02:04:00,4,STILL_PHOTO,031_02m00s-02m04s_task-vs-time.png,Historians call this contrast task orientation versus time discipline.,TASK / TIME,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
032,00:02:04:00,00:02:08:00,4,STILL_PHOTO,032_02m04s-02m08s_thompson-1967.png,The phrase comes from E. P. Thompson’s 1967 study of industrial capitalism.,"E. P. THOMPSON, 1967",Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
033,00:02:08:00,00:02:12:00,4,STILL_PHOTO,033_02m08s-02m12s_task-expands-and-contracts.png,"Under task orientation, work expands and contracts with what actually needs doing.",TASK,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
034,00:02:12:00,00:02:16:00,4,STILL_PHOTO,034_02m12s-02m16s_time-discipline.png,"Under time discipline, the important unit is no longer the task.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
035,00:02:16:00,00:02:20:00,4,ANIMATE_CLIP,035_02m16s-02m20s_the-hour-itself.png,It is the hour itself.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
036,00:02:20:00,00:02:24:00,4,STILL_PHOTO,036_02m20s-02m24s_hour-as-product.png,"Once an hour can be bought, sold, fined, and recorded, it becomes a product.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
037,00:02:24:00,00:02:28:00,4,STILL_PHOTO,037_02m24s-02m28s_paid-for-presence.png,"You can be paid not for finishing something, but for being present.",PRESENT,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
038,00:02:28:00,00:02:32:00,4,STILL_PHOTO,038_02m28s-02m32s_born-into-time-discipline.png,That feels natural only because you were born after the transformation.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
039,00:02:32:00,00:02:36:00,4,STILL_PHOTO,039_02m32s-02m36s_built-over-centuries.png,"But this transformation was built, object by object, over centuries.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
040,00:02:36:00,00:02:40:00,4,ANIMATE_CLIP,040_02m36s-02m40s_mechanical-clock-origin.png,One small machine made it possible: the mechanical clock.,,Hard cut; introduce the first distant bell ambience under the next shot.
041,00:02:40:00,00:02:44:00,4,STILL_PHOTO,041_02m40s-02m44s_bells-synchronize-routines.png,"Bells first synchronized prayers, markets, and public routines.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
042,00:02:44:00,00:02:48:00,4,STILL_PHOTO,042_02m44s-02m48s_shared-time-coordinates-strangers.png,Then accurate time could coordinate people who never even met.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
043,00:02:48:00,00:02:52:00,4,STILL_PHOTO,043_02m48s-02m52s_agriculture-settlement-transition.png,"Agriculture had already made work more seasonal, settled, and dependent on land.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
044,00:02:52:00,00:02:56:00,4,STILL_PHOTO,044_02m52s-02m56s_field-cycle.png,"Fields need planting, weeding, harvesting, storing, and guarding.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
045,00:02:56:00,00:03:00:00,4,ANIMATE_CLIP,045_02m56s-03m00s_stored-food-property-power.png,Stored food can become property. Property can turn protection into power.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
046,00:03:00:00,00:03:04:00,4,STILL_PHOTO,046_03m00s-03m04s_move-or-return.png,A hunter could move when a place failed. A field asks you to return.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
047,00:03:04:00,00:03:08:00,4,STILL_PHOTO,047_03m04s-03m08s_records-schedules-timekeepers.png,"Eventually, records needed schedules, and schedules needed people who kept time.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
048,00:03:08:00,00:03:12:00,4,STILL_PHOTO,048_03m08s-03m12s_factory-synchronization-scale.png,Then the factory made synchronized work ordinary at a scale never seen before.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
049,00:03:12:00,00:03:16:00,4,STILL_PHOTO,049_03m12s-03m16s_inputs-converge-at-factory.png,"Steam, machinery, raw cotton, and wages demanded bodies arrive together.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
050,00:03:16:00,00:03:20:00,4,ANIMATE_CLIP,050_03m16s-03m20s_bell-as-border.png,The bell became more than a signal. It became a border.,BEFORE / AFTER,Hard cut to colder pre-dawn mill town; carry a low room-tone bridge.
051,00:03:20:00,00:03:24:00,4,STILL_PHOTO,051_03m20s-03m24s_mill-town-before-sunrise.png,Picture a mill town before sunrise in the nineteenth century.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
052,00:03:24:00,00:03:28:00,4,STILL_PHOTO,052_03m24s-03m28s_lonely-sound-travels.png,"The streets are wet, the windows dark, and one sound travels farther than voices.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
053,00:03:28:00,00:03:32:00,4,STILL_PHOTO,053_03m28s-03m32s_bell-starts-workers-move.png,The bell starts. Doors open. Hundreds of people move in one direction.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
054,00:03:32:00,00:03:36:00,4,STILL_PHOTO,054_03m32s-03m36s_clock-starts-shift.png,"Not because each finished a task, but because the clock began one.",START,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
055,00:03:36:00,00:03:40:00,4,ANIMATE_CLIP,055_03m36s-03m40s_late-minute-punished.png,"A late minute can be counted, noticed, and punished.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
056,00:03:40:00,00:03:44:00,4,STILL_PHOTO,056_03m40s-03m44s_obedience-as-routine.png,Industrial time made obedience feel less like force and more like routine.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
057,00:03:44:00,00:03:48:00,4,STILL_PHOTO,057_03m44s-03m48s_body-learns-routine.png,"Your body learns it too: lunch hunger, closing fatigue, Sunday dread.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
058,00:03:48:00,00:03:52:00,4,STILL_PHOTO,058_03m48s-03m52s_workers-fought-clock.png,But workers fought the clock. The eight-hour day was not a gift.,8 HOURS,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
059,00:03:52:00,00:03:56:00,4,STILL_PHOTO,059_03m52s-03m56s_owen-three-eights-formula.png,"Owen’s 1817 formula divided the day into labor, recreation, and rest.",WORK / LIFE / REST,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
060,00:03:56:00,00:04:00:00,4,ANIMATE_CLIP,060_03m56s-04m00s_recreation-not-for-sale.png,The radical word was recreation: hours of life that could not be sold.,RECREATION,Hard cut from coin drift to newspaper texture; no flashy transition.
061,00:04:00:00,00:04:04:00,4,STILL_PHOTO,061_04m00s-04m04s_first-international-demand.png,"In 1866, the First International made limits on the workday a central demand.",1866; LIMIT THE DAY,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
062,00:04:04:00,00:04:08:00,4,STILL_PHOTO,062_04m04s-04m08s_1886-eight-hour-rally.png,"In 1886, workers across the United States rallied around the eight-hour day.",8 HOURS,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
063,00:04:08:00,00:04:12:00,4,STILL_PHOTO,063_04m08s-04m12s_exploitation-visible.png,The fight did not make time free. It made exploitation visible.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
064,00:04:12:00,00:04:16:00,4,STILL_PHOTO,064_04m12s-04m16s_eight-hours-ceiling.png,"Eight hours was a ceiling, not a human optimum.",8 HOURS,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
065,00:04:16:00,00:04:20:00,4,ANIMATE_CLIP,065_04m16s-04m20s_protection-to-commandment.png,A limit once fought for can later feel like a commandment.,8 HOURS,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
066,00:04:20:00,00:04:24:00,4,STILL_PHOTO,066_04m20s-04m24s_1938-forty-hour-law.png,"In 1938, U.S. law began phasing a forty-four-hour standard toward forty.",1938; 44 → 40,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
067,00:04:24:00,00:04:28:00,4,STILL_PHOTO,067_04m24s-04m28s_covered-not-all.png,"It brought overtime protection to covered workers, but excluded many others.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
068,00:04:28:00,00:04:32:00,4,STILL_PHOTO,068_04m28s-04m32s_protected-forty-hour-inheritance.png,That is the strange inheritance: your normal week began as a protection.,40 HOURS,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
069,00:04:32:00,00:04:36:00,4,STILL_PHOTO,069_04m32s-04m36s_factory-wall-disappears.png,"Then the factory wall disappeared, but the clock did not.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
070,00:04:36:00,00:04:40:00,4,ANIMATE_CLIP,070_04m36s-04m40s_clock-into-pocket.png,It moved from the wall into your pocket.,,Phone-motif match cut into the portable-bell domestic scenes.
071,00:04:40:00,00:04:44:00,4,STILL_PHOTO,071_04m40s-04m44s_portable-bell.png,"Your phone rings more softly than a mill bell, but it can arrive anywhere.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
072,00:04:44:00,00:04:48:00,4,STILL_PHOTO,072_04m44s-04m48s_message-anywhere.png,A message appears at breakfast. A reminder appears in bed.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
073,00:04:48:00,00:04:52:00,4,STILL_PHOTO,073_04m48s-04m52s_dashboard-pressure.png,"A dashboard says available, overdue, active, urgent, and waiting.",AVAILABLE / OVERDUE / ACTIVE / URGENT / WAITING,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
074,00:04:52:00,00:04:56:00,4,STILL_PHOTO,074_04m52s-04m56s_flexibility.png,Technology can remove commutes and give you real flexibility.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
075,00:04:56:00,00:05:00:00,4,ANIMATE_CLIP,075_04m56s-05m00s_erased-boundary.png,But it can also erase the line that tells work to stop.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
076,00:05:00:00,00:05:04:00,4,STILL_PHOTO,076_05m00s-05m04s_bell-follows-home.png,The bell no longer needs a building when it can follow you home.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
077,00:05:04:00,00:05:08:00,4,STILL_PHOTO,077_05m04s-05m08s_unseen-work-layer.png,"And there is another layer: work that is unpaid, unnamed, and barely noticed.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
078,00:05:08:00,00:05:12:00,4,STILL_PHOTO,078_05m08s-05m12s_scattered-coordination.png,"You compare prices, plan meals, book appointments, update passwords, remember birthdays.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
079,00:05:12:00,00:05:16:00,4,STILL_PHOTO,079_05m12s-05m16s_evening-fragmentation.png,"These are small pieces of coordination, scattered across the evening.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
080,00:05:16:00,00:05:20:00,4,ANIMATE_CLIP,080_05m16s-05m20s_maintenance-fragmented.png,Modern life did not eliminate maintenance. It fragmented it.,MAINTENANCE,Fragmented-paper match cut into the FREE TIME cloud.
081,00:05:20:00,00:05:24:00,4,STILL_PHOTO,081_05m20s-05m24s_occupied-free-time.png,That is why free time can arrive already occupied.,FREE TIME; PAY / REPLY / RETURN,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
082,00:05:24:00,00:05:28:00,4,STILL_PHOTO,082_05m24s-05m28s_distributed-system.png,No overseer stands behind you. The system is spread across institutions.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
083,00:05:28:00,00:05:32:00,4,STILL_PHOTO,083_05m28s-05m32s_no-single-villain.png,"There is no single villain to point at, which makes it harder to resist.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
084,00:05:32:00,00:05:36:00,4,STILL_PHOTO,084_05m32s-05m36s_safety-money-work-time-loop.png,"The bargain is simple: safety costs money, money costs work, work costs time.",SAFETY → MONEY → WORK → TIME,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
085,00:05:36:00,00:05:40:00,4,ANIMATE_CLIP,085_05m36s-05m40s_exhaustion-is-not-failure.png,"Once that loop feels normal, exhaustion can look like a personal failure.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
086,00:05:40:00,00:05:44:00,4,STILL_PHOTO,086_05m40s-05m44s_internalized-labels.png,"You call yourself lazy, scattered, undisciplined, or simply not enough.",LAZY / LATE / SCATTERED / NOT ENOUGH,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
087,00:05:44:00,00:05:48:00,4,STILL_PHOTO,087_05m44s-05m48s_tired-not-broken.png,But a person can be tired without being broken.,TIRED ≠ BROKEN,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
088,00:05:48:00,00:05:52:00,4,STILL_PHOTO,088_05m48s-05m52s_not-wasting-time.png,Sometimes the problem is not that you waste time.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
089,00:05:52:00,00:05:56:00,4,STILL_PHOTO,089_05m52s-05m56s_quiet-claim.png,Sometimes every system around you has quietly learned to claim it.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
090,00:05:56:00,00:06:00:00,4,ANIMATE_CLIP,090_05m56s-06m00s_deeper-prehistoric-comparison.png,And that is what the prehistoric comparison is really about.,,"Brief paper-white reset, then hard cut to the progress question."
091,00:06:00:00,00:06:04:00,4,STILL_PHOTO,091_06m00s-06m04s_not-abandon-progress.png,"It is not an invitation to abandon cities, hospitals, books, or electricity.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
092,00:06:04:00,00:06:08:00,4,STILL_PHOTO,092_06m04s-06m08s_forgotten-progress-question.png,It is an invitation to ask a forgotten question about progress.,PROGRESS,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
093,00:06:08:00,00:06:12:00,4,STILL_PHOTO,093_06m08s-06m12s_real-benefits.png,"Progress gave you safer births, longer lives, vaccines, and astonishing tools.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
094,00:06:12:00,00:06:16:00,4,STILL_PHOTO,094_06m12s-06m16s_time-poor-tools.png,So why do time-saving tools leave so many people feeling time-poor?,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
095,00:06:16:00,00:06:20:00,4,ANIMATE_CLIP,095_06m16s-06m20s_saving-is-not-deciding.png,Because saving minutes is not the same as deciding where those minutes go.,MINUTES,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
096,00:06:20:00,00:06:24:00,4,STILL_PHOTO,096_06m20s-06m24s_three-time-savers.png,A faster train saves travel. A dishwasher saves chores. An app saves clicks.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
097,00:06:24:00,00:06:28:00,4,STILL_PHOTO,097_06m24s-06m28s_saved-time-not-yours.png,But saved time does not automatically become yours.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
098,00:06:28:00,00:06:32:00,4,STILL_PHOTO,098_06m28s-06m32s_captured-efficiency-paths.png,"It can become faster expectations, more messages, more output, and longer reach.",FASTER,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
099,00:06:32:00,00:06:36:00,4,STILL_PHOTO,099_06m32s-06m36s_efficiency-captured.png,The system is excellent at capturing efficiency and poor at protecting its reward.,EFFICIENCY,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
100,00:06:36:00,00:06:40:00,4,ANIMATE_CLIP,100_06m36s-06m40s_who-receives-it.png,Every machine that saves time asks one silent question: who receives it?,,Question-mark match cut into the quiet two-hero comparison.
101,00:06:40:00,00:06:44:00,4,STILL_PHOTO,101_06m40s-06m44s_comparison-still-stings.png,That is why the hunter-gatherer comparison still stings.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
102,00:06:44:00,00:06:48:00,4,STILL_PHOTO,102_06m44s-06m48s_not-painless.png,Not because their lives were painless. They were not.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
103,00:06:48:00,00:06:52:00,4,STILL_PHOTO,103_06m48s-06m52s_cannot-know-happiness.png,Not because they were happier in every way. We cannot know that.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
104,00:06:52:00,00:06:56:00,4,STILL_PHOTO,104_06m52s-06m56s_unbilled-life.png,It stings because their days were not automatically sliced into billable blocks.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
105,00:06:56:00,00:07:00:00,4,ANIMATE_CLIP,105_06m56s-07m00s_visible-connection-life.png,"Their work could be exhausting, but its connection to life was visible.",,Quiet hard cut from campfire connection to intimate everyday moments.
106,00:07:00:00,00:07:04:00,4,STILL_PHOTO,106_07m00s-07m04s_small-moments.png,You can still feel that difference in small moments.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
107,00:07:04:00,00:07:08:00,4,STILL_PHOTO,107_07m04s-07m08s_cooking-versus-urgent.png,Cooking for friends feels different from answering an email marked urgent.,URGENT,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
108,00:07:08:00,00:07:12:00,4,STILL_PHOTO,108_07m08s-07m12s_destinationless-walk.png,Walking without a destination can feel suspicious after a week of appointments.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
109,00:07:12:00,00:07:16:00,4,STILL_PHOTO,109_07m12s-07m16s_empty-hour-as-waste.png,You were trained to read an empty hour as waste.,WASTED?,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
110,00:07:16:00,00:07:20:00,4,ANIMATE_CLIP,110_07m16s-07m20s_empty-hour-possibilities.png,"But an empty hour can be recovery, friendship, boredom, attention, or thought.",,"Hold the open sector for 6 frames, then hard cut to the idea bulb."
111,00:07:20:00,00:07:24:00,4,STILL_PHOTO,111_07m20s-07m24s_idea-before-price.png,It can be where an idea arrives before someone asks you to monetize it.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
112,00:07:24:00,00:07:28:00,4,STILL_PHOTO,112_07m24s-07m28s_no-magic-secret.png,The ancient world did not possess a magical secret that modern people lost.,MAGIC SECRET,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
113,00:07:28:00,00:07:32:00,4,STILL_PHOTO,113_07m28s-07m32s_unclaimed-time.png,It sometimes preserved something modern systems regularly bargain away: unclaimed time.,UNCLAIMED TIME,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
114,00:07:32:00,00:07:36:00,4,STILL_PHOTO,114_07m32s-07m36s_three-eights-return.png,That is why Robert Owen’s three eights still matter.,8 / 8 / 8,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
115,00:07:36:00,00:07:40:00,4,ANIMATE_CLIP,115_07m36s-07m40s_line-against-more.png,They were not perfect. They were a line against a world demanding more.,LIFE,Line/contour match cut into the hero’s open hands.
116,00:07:40:00,00:07:44:00,4,STILL_PHOTO,116_07m40s-07m44s_more-than-hands.png,A line saying a human is not only a pair of productive hands.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
